#  target_id  element_id  weight_name


1  1    none
1  2    none
1  3    none
1  4    none

5  5    none

6  6    none


7  7    none
7  8    none


9  9    none
9  10    none


11  11    none
11  12    none
11  13    none


14  14    none


15  15    none
15  16    none


17  17    none
17  18    none


19  19    none
19  20    none


21  21    none
21  22    none


23  23    none

24  24    none
24  25    none


26  26    none


27  27    none


28  28    none
28  29    none


30  30    none
30  31    none


32  32    none
32  33    none


34  34    none
34  35    none


36  36    none
36  37    none
36  38    none
36  39    none


40  40    none


41  41    none


42  42    none
42  43    none


44  44    none
44  45    none


46  46    none
46  47    none


48  48    none
48  49    none
48  50    none


51  51    none
51  52    none
51  53    none
51  54    none


55  55    none
55  56    none
55  57    none
55  58    none


59  59    none


60  60    none


61  61    none
61  62    none


63  63    none
63  64    none


65  65    none
65  66    none
65  67    none
65  68    none


69  69    none


70  70    none


71  71    none
71  72    none


73  73    none
73  74    none


75  75    none
75  76    none
75  77    none
75  78    none


79  79    none


80  80    none


81  81    none
81  82    none


83  83    none
83  84    none


85  85    none
85  86    none
85  87    none


88  88    none
88  89    none


90  90    none
90  91    none
90  92    none
90  93    none


94  94    none
94  95    none
94  96    none
94  97    none


98  98    none


99  99    none


100  100    none
100  101    none


102  102    none
102  103    none


104  104    none
104  105    none
104  106    none


107  107    none
107  108    none


109  109    none
109  110    none
109  111    none
109  112    none


113  113    none
113  114    none
113  115    none
113  116    none


117  117    none


118  118    none


119  119    none
119  120    none


121  121    none
121  122    none


123  123    none
123  124    none
123  125    none


126  126    none
126  127    none


128  128    none


129  129    none


130  130    none


131  131    none
131  132    none


133  133    none
133  134    none
133  135    none


136  136    none
136  137    none
136  138    none


139  139    none
139  140    none
139  141    none


142  142    none


143  143    none


144  144    none
144  145    none


146  146    none
146  147    none


148  148    none
148  149    none
148  150    none


151  151    none


152  152    none
152  153    none


154  154    none
154  155    none


156  156    none
156  157    none


158  158    none
158  159    none


160  160    none


161  161    none
161  162    none


163  163    none


164  164    none


165  165    none
165  166    none


167  167    none
167  168    none


169  169    none
169  170    none
169  171    none


172  172    none
172  173    none


174  174    none


175  175    none


176  176    none
176  177    none


178  178    none
178  179    none
178  180    none
178  181    none
